age,balance,duration,job,marital,education,default,housing,loan,contact
32,0,455,4,2,2,0,1,0,0
56,1877,86,7,0,3,0,1,0,2
31,874,190,4,2,2,0,1,0,0
42,323,280,0,1,1,0,1,1,2
35,106,588,4,1,2,0,0,1,0
56,1906,45,5,1,0,0,0,1,2
48,1152,168,9,1,1,0,1,0,0
46,179,194,0,1,1,0,1,0,0
37,391,103,9,2,3,0,1,0,2
41,89,333,2,1,3,0,1,0,2
36,442,102,4,2,2,0,1,1,0
45,-249,92,10,0,0,1,1,1,2
55,8104,213,2,1,1,0,0,0,0
39,501,289,9,1,1,0,0,0,2
35,308,77,9,0,1,0,0,0,0
55,602,324,0,1,1,0,0,0,0
55,273,84,9,1,1,0,1,0,0
27,50,168,6,2,1,0,0,0,0
34,1641,380,9,1,1,0,1,0,0
34,20,10,1,1,2,0,0,0,2
25,4590,199,0,2,1,0,1,0,2
41,-256,35,0,2,1,0,0,1,2
43,978,82,7,1,1,0,1,1,2
28,80,676,4,2,2,0,0,0,0
31,2104,455,0,2,1,0,1,0,2
78,499,80,3,1,1,0,0,0,1
45,1269,549,1,0,1,0,1,0,0
48,310,135,9,1,2,0,0,0,2
32,1143,412,1,2,1,0,1,1,0
42,2980,101,9,1,1,0,0,0,2
37,37,253,4,2,2,0,0,0,0
40,462,272,0,2,1,0,1,1,0
32,1031,84,0,1,1,0,1,0,0
42,9009,135,4,1,2,0,0,0,0
43,-465,166,0,1,1,0,1,1,0
44,5181,18,0,1,1,0,1,1,0
37,176,147,0,1,1,0,1,0,0
37,1699,63,11,1,3,0,0,0,2
37,0,65,0,1,2,0,1,0,0
28,172,194,9,2,2,0,1,1,0
32,0,333,7,2,1,0,0,1,0
34,6979,14,0,2,1,0,1,0,0
40,6,140,0,0,1,0,0,0,2
34,-62,109,7,1,1,0,1,0,2
34,1972,61,6,1,2,0,1,0,0
34,899,377,0,1,2,0,1,0,1
37,21,96,7,2,1,0,1,0,0
36,23,152,9,1,1,0,1,0,0
56,-1206,382,5,1,1,0,1,0,0
49,0,97,1,1,0,0,1,1,1
33,215,543,6,1,1,0,1,0,0
30,1372,240,4,2,2,0,0,0,0
36,1981,48,7,1,1,0,0,0,2
23,9216,471,8,2,1,0,0,0,0
57,39,354,5,0,1,0,1,0,0
27,5563,435,1,2,1,0,1,0,2
38,1,152,7,1,1,0,0,1,0
42,782,285,9,1,2,0,0,0,0
75,3771,185,5,1,1,0,0,0,1
34,992,301,9,2,2,0,1,0,0
48,1526,273,9,1,1,0,0,0,0
35,2658,768,9,2,2,0,1,0,0
39,1315,1337,4,0,2,0,1,0,0
29,455,403,1,2,2,0,0,0,1
45,0,139,9,2,2,0,1,0,0
42,2030,196,9,1,1,0,1,1,0
29,1599,115,9,1,1,0,1,0,0
38,-196,60,7,2,1,0,1,0,0
56,1333,17,5,1,1,0,0,0,0
36,9149,141,9,2,1,0,1,0,0
25,-350,95,1,2,1,0,1,0,2
38,432,10,9,1,2,0,1,0,0
57,11494,198,6,1,1,0,0,0,0
31,-253,220,4,1,2,1,0,0,0
42,372,654,4,1,2,0,1,0,0
45,1410,71,9,1,1,0,0,0,0
30,975,256,1,1,1,0,1,0,0
49,305,834,1,1,0,0,1,1,1
49,400,151,7,1,1,0,0,0,0
53,-22,20,5,1,2,0,1,0,0
37,4030,178,9,1,1,0,1,0,2
49,365,59,1,1,0,0,0,0,2
41,204,111,6,1,0,0,0,0,0
54,1691,186,4,1,0,0,1,0,0
32,406,227,7,2,1,0,1,0,2
33,-204,297,9,1,1,0,0,0,0
33,359,210,9,1,1,0,1,0,0
36,123,9,1,1,0,0,1,0,0
35,0,112,9,1,2,0,1,1,0
52,142,112,11,1,1,0,0,0,0
40,3571,222,2,1,2,0,0,0,2
44,33,195,9,2,1,0,1,0,0
45,0,768,1,2,1,0,1,0,0
30,3096,123,8,2,1,0,0,0,0
48,20,145,9,0,1,1,0,0,0
33,3576,124,1,1,1,0,1,0,0
57,206,216,9,1,3,0,1,0,2
57,7082,69,3,1,0,0,0,0,2
51,1634,168,10,1,2,0,1,0,0
34,1,483,0,2,1,0,1,0,0
50,4012,690,6,1,2,0,0,0,0
44,3762,125,4,1,2,0,0,0,0
27,-247,344,0,1,1,0,1,1,2
50,606,673,1,1,1,0,1,0,2
36,0,60,4,1,2,0,1,0,0
42,-189,247,4,1,1,0,1,0,2
32,0,123,10,2,1,0,0,0,0
42,484,144,4,1,2,0,1,0,0
43,0,9,9,1,1,0,0,1,0
31,395,155,4,1,2,0,1,0,0
32,2349,134,4,1,2,0,0,0,0
55,410,221,1,0,0,0,0,1,0
58,3401,84,5,1,0,0,1,0,0
46,222,71,1,1,0,0,0,0,0
55,989,246,1,1,1,0,1,1,2
34,415,361,4,1,2,0,0,1,0
28,16,119,10,2,1,0,0,0,0
42,7190,375,9,0,2,0,1,0,0
29,482,1097,1,2,1,0,0,1,0
54,209,97,3,1,1,0,1,1,0
32,0,181,9,2,1,0,0,0,0
39,5803,83,9,2,2,0,0,0,0
53,624,180,2,1,2,0,0,1,0
58,883,543,9,1,2,0,0,0,0
40,1516,373,6,1,1,0,1,1,2
29,872,230,8,2,1,0,1,0,2
33,-988,83,9,1,2,0,1,1,0
38,902,58,0,2,1,0,1,0,1
56,1007,88,7,0,1,0,0,0,0
40,0,297,7,1,1,0,1,0,0
24,174,487,1,2,1,0,1,1,0
46,12186,29,4,1,1,0,0,0,2
35,524,484,6,1,1,0,1,0,0
35,0,262,1,2,2,0,1,0,0
34,4,644,9,1,1,0,1,0,2
35,11219,699,3,1,2,0,0,0,0
38,0,247,9,2,2,0,0,0,0
50,5776,49,1,1,0,0,0,0,0
51,37,341,1,0,0,0,1,0,0
59,593,64,6,1,2,0,0,0,2
32,1148,121,1,1,1,0,1,0,0
37,3561,98,1,2,1,0,1,0,2
42,63,88,0,0,1,0,0,0,2
40,260,197,8,1,1,0,0,0,2
28,2269,331,9,2,2,0,1,0,2
47,1060,83,0,1,1,0,1,0,2
27,-220,138,6,1,1,0,1,0,2
41,49,312,4,1,2,0,1,0,0
34,69,120,0,1,2,0,0,1,0
50,4108,526,1,1,0,0,1,0,0
47,480,211,1,1,1,0,1,0,2
53,4994,62,7,1,1,0,0,0,0
53,0,135,9,0,1,0,1,1,0
47,3681,101,4,1,2,0,0,0,0
49,-701,988,2,0,3,1,1,0,0
29,451,451,4,1,2,0,0,0,0
45,-311,1030,1,0,0,0,1,0,2
38,593,1484,2,1,1,0,1,1,0
32,759,317,1,1,1,0,1,0,0
70,4531,445,5,0,0,0,0,0,0
65,1840,383,5,0,0,0,0,0,0
56,345,605,1,1,1,0,1,0,1
35,1287,330,1,1,1,0,1,0,0
56,353,171,4,1,3,0,0,1,0
56,205,442,9,1,1,0,0,1,0
49,687,772,2,1,1,0,1,0,0
38,1147,249,10,1,0,0,1,1,2
35,4286,357,4,1,2,0,1,0,2
38,605,147,0,1,2,0,0,0,0
49,8545,199,1,1,1,0,1,1,0
55,559,271,4,1,3,0,0,0,0
43,2,783,1,2,0,0,1,0,0
43,2,472,4,1,2,0,0,1,0
25,760,223,0,2,2,0,1,0,0
30,1317,395,1,1,0,0,1,0,2
46,182,56,1,1,1,0,0,0,0
50,276,641,0,1,0,0,0,1,2
35,2971,429,2,1,1,0,0,0,0
26,1064,113,10,2,1,0,0,0,2
45,1783,11,0,1,3,0,0,0,2
37,-67,157,1,1,1,0,0,0,0
60,179,79,6,2,2,0,0,1,0
38,1199,178,4,1,2,0,0,0,0
47,214,168,1,1,0,0,1,1,2
33,6699,425,9,1,1,0,0,0,0
51,1760,162,10,1,1,0,0,1,0
35,145,799,2,2,2,0,1,0,0
35,978,1370,10,1,1,0,0,0,0
48,1150,357,0,2,1,0,1,0,2
37,121,22,0,1,1,0,0,0,0
29,828,215,9,2,2,0,1,0,0
34,244,56,0,1,1,0,1,0,0
32,228,1017,7,1,0,0,1,0,0
30,424,298,4,2,2,0,0,0,0
47,447,126,4,0,2,0,0,1,2
33,-195,9,1,1,0,0,0,0,2
33,1410,8,4,2,2,0,1,0,0
63,1084,201,5,1,0,0,0,0,0
51,10924,106,6,0,0,0,0,0,0
41,832,164,4,1,2,0,1,1,0
56,478,97,5,1,2,0,0,0,0
60,0,151,4,2,2,0,0,1,0
41,3950,96,6,2,2,0,1,0,2
37,504,555,4,2,3,0,1,0,0
36,219,270,1,2,1,0,1,1,0
57,1602,339,4,1,2,0,0,0,0
55,2587,328,4,1,0,0,0,0,0
44,0,159,0,1,1,0,1,1,2
47,2303,323,6,1,2,0,1,0,0
31,1660,342,1,1,1,0,1,0,0
35,32,180,4,1,2,1,1,0,0
39,278,60,4,1,2,0,0,1,0
50,4,223,4,1,2,0,0,0,0
29,318,1434,4,1,2,0,1,0,0
30,209,30,7,2,1,0,1,0,2
46,271,134,7,1,1,0,1,0,2
27,3196,10,4,2,3,0,0,0,0
48,4099,397,0,0,1,0,0,0,0
26,2572,620,8,2,1,0,1,0,0
36,339,6,4,2,2,0,0,0,0
42,0,209,1,1,0,0,1,1,0
50,395,419,3,1,0,0,1,0,2
49,2039,283,1,1,1,0,1,0,0
45,5450,188,4,1,2,0,0,0,0
23,780,267,8,2,1,0,0,0,0
38,0,196,9,2,1,0,1,0,0
32,8436,245,4,2,2,0,1,0,0
60,11262,323,9,2,0,0,0,0,0
30,946,1065,2,1,1,0,1,0,0
58,497,138,3,1,2,0,0,0,2
60,55,207,5,1,0,0,0,0,0
38,-140,456,7,1,1,0,0,0,2
51,-379,261,9,1,1,0,1,0,0
42,-396,80,0,1,1,0,1,0,0
30,0,131,7,2,1,0,1,0,0
40,733,94,4,1,0,0,1,0,2
37,393,567,4,1,2,0,1,0,0
53,7290,153,9,0,0,0,1,0,2
27,468,109,7,2,1,0,1,0,0
39,0,53,1,1,1,0,1,0,0
39,3705,77,1,1,0,0,1,0,2
59,9676,234,5,1,2,0,0,0,1
37,1328,121,7,1,1,0,1,0,1
41,8,155,1,1,0,0,1,0,0
45,61,108,1,1,0,0,0,0,0
48,6613,159,4,1,2,0,0,0,2
48,302,208,9,1,1,0,1,0,2
32,1005,215,1,1,1,0,0,0,0
35,109,597,7,1,1,0,1,0,2
33,1240,505,4,2,2,0,1,0,0
28,0,380,1,2,0,0,1,1,2
64,2923,120,5,1,3,0,0,0,0
35,0,106,9,1,1,0,0,0,0
33,43,332,1,1,1,0,1,0,0
41,288,221,9,1,1,0,1,0,2
34,613,80,0,1,1,0,1,0,0
37,6101,60,9,2,2,0,0,0,0
38,168,212,1,1,0,0,1,1,1
39,7685,493,1,1,0,0,1,0,0
35,4515,98,9,0,2,0,1,0,0
28,517,681,1,2,1,0,0,1,0
27,148,203,1,2,1,0,0,0,0
48,-285,157,5,1,0,1,0,1,0
50,887,287,1,1,1,0,0,0,2
45,3098,159,6,1,1,0,1,0,0
41,744,125,9,1,2,0,1,0,2
39,130,202,9,1,1,0,0,0,0
44,438,37,4,1,1,0,1,0,1
54,0,161,0,1,1,0,0,0,0
49,322,72,4,1,2,0,0,0,0
34,186,342,1,2,1,0,0,0,0
75,3810,262,5,0,2,0,1,0,0
42,0,325,4,1,2,0,0,0,0
53,4380,223,1,1,1,0,0,0,1
49,755,1212,4,0,2,0,0,0,0
31,2070,319,7,2,1,0,0,0,0
45,999,182,1,2,0,0,0,0,0
39,167,330,6,1,1,0,1,1,0
46,1322,514,9,1,1,0,1,1,0
42,1076,213,0,0,1,0,1,0,2
37,502,551,4,1,2,0,1,0,0
26,1216,472,9,2,2,0,1,0,0
37,876,140,4,2,2,0,1,0,0
36,342,142,7,2,1,0,1,0,2
29,950,135,1,2,0,0,1,0,2
36,973,293,1,1,0,0,1,1,2
26,3825,107,9,1,2,0,1,0,2
32,2366,127,1,1,1,0,1,0,2
40,542,1816,4,1,2,0,1,0,0
53,995,200,4,1,0,0,0,0,0
29,20,418,4,1,2,0,1,0,0
34,228,387,9,2,2,0,1,0,0
43,130,156,1,1,1,0,0,0,0
56,217,121,4,1,2,0,0,1,0
55,0,108,2,0,2,0,0,0,2
31,259,47,6,1,2,0,1,0,0
27,619,16,0,2,1,0,1,0,0
36,644,54,4,1,1,0,1,0,0
44,22,265,4,1,2,0,1,0,0
37,4303,168,0,0,2,0,1,0,2
30,239,115,0,2,1,0,1,0,0
42,275,31,9,2,1,0,0,0,0
30,1221,279,4,1,2,0,1,0,1
62,816,28,5,1,1,0,0,0,0
24,1222,369,1,1,1,0,1,0,0
31,2363,247,9,1,1,0,1,0,2
66,2262,155,5,1,2,0,0,0,0
47,2,89,0,1,1,0,0,0,0
39,2,180,2,1,2,0,1,0,0
35,4508,854,9,1,1,0,1,0,0
35,-402,46,0,0,1,0,1,0,0
27,1577,266,9,1,1,0,1,1,2
32,34,321,1,1,1,0,1,0,0
44,795,99,4,1,2,0,0,0,0
42,117,147,1,1,1,0,1,0,2
34,5462,430,6,2,2,0,0,0,0
25,402,264,7,2,1,0,0,1,0
40,641,156,9,2,1,0,0,0,0
43,36,118,4,0,2,0,0,0,0
55,383,343,10,1,2,0,0,0,2
50,283,226,1,1,1,0,1,0,0
45,0,5,4,0,2,0,0,0,2
35,3102,138,1,0,1,0,1,0,0
32,889,185,1,1,1,0,1,0,0
59,0,722,3,1,1,0,0,0,1
34,-370,748,6,1,1,0,1,0,2
39,-606,142,4,1,2,0,1,0,2
40,10378,523,4,2,1,0,1,0,0
36,1313,8,1,2,0,0,1,0,2
40,8969,153,4,1,2,0,1,0,0
55,-196,210,6,1,1,0,1,0,2
38,15,121,2,1,1,1,1,0,0
61,4608,212,0,1,1,0,0,0,0
41,666,253,4,1,2,0,1,0,2
57,452,139,1,1,0,0,1,0,2
48,149,71,1,1,1,0,1,0,2
77,7802,421,5,1,2,0,0,0,1
35,1453,199,7,1,1,0,1,0,2
54,1480,108,1,1,1,0,1,0,2
37,715,247,4,2,3,0,1,0,2
56,237,236,4,2,1,0,1,0,1
40,694,97,9,1,1,0,1,0,0
40,0,109,4,1,2,0,0,0,0
54,55,112,4,1,2,0,1,0,0
55,136,15,3,1,0,0,1,0,2
55,-404,502,7,0,1,1,1,0,0
52,779,30,1,1,0,0,1,0,2
55,1187,193,1,2,0,0,1,0,2
33,641,347,4,1,2,0,1,0,0
52,826,468,1,1,3,0,1,0,2
33,991,148,7,0,1,0,1,0,2
53,1796,295,0,1,1,0,0,0,1
46,22,388,0,1,1,0,0,0,0
44,244,1735,9,2,1,0,1,0,0
48,1328,339,4,0,2,0,1,0,2
50,7317,172,3,1,1,0,1,0,0
34,4943,117,9,2,1,0,1,1,0
38,258,587,9,2,1,0,0,1,2
42,515,501,4,2,2,0,1,0,0
32,12607,203,4,2,2,0,0,0,0
58,2,282,0,1,1,0,1,1,1
31,13,110,4,1,2,0,0,0,0
19,103,104,8,2,0,0,0,0,0
41,3872,231,4,1,2,0,0,0,0
31,296,378,10,1,1,0,1,0,2
52,217,193,6,2,0,0,0,1,0
42,360,110,6,0,2,0,1,0,2
41,428,92,1,2,1,0,1,0,0
30,315,1407,1,2,1,0,0,0,0
38,121,168,1,1,1,0,1,1,0
32,820,738,4,1,2,0,1,0,0
52,195,220,9,1,1,0,1,0,0
48,108,89,4,0,2,0,1,0,2
36,-381,30,4,1,2,0,1,0,0
45,757,103,10,0,0,0,0,0,0
34,691,70,9,1,2,0,1,1,2
36,1925,904,1,1,0,0,1,0,0
34,902,159,4,1,2,0,1,0,0
61,5207,336,5,1,1,0,0,0,0
54,0,220,7,1,1,0,0,0,2
50,665,238,2,1,1,0,0,0,1
43,738,585,0,0,1,0,1,0,0
47,233,293,1,1,0,0,0,0,0
45,-839,68,7,1,1,0,1,0,2
57,5799,97,5,1,0,0,0,0,2
27,1033,1713,0,1,1,0,1,0,2
49,66,218,10,0,1,0,0,0,0
43,2567,109,7,1,0,0,1,0,0
40,1584,661,4,1,2,0,1,0,1
32,182,145,7,2,1,0,1,0,0
58,76,54,4,1,0,0,1,0,1
34,663,111,0,2,1,0,1,0,0
46,3455,566,9,0,1,0,1,0,2
29,15,136,1,1,1,0,0,0,0
52,1054,273,1,1,0,0,0,0,0
45,1529,160,4,1,2,0,0,0,0
26,63,76,4,2,1,0,0,0,0
40,0,44,9,1,2,0,0,0,0
41,920,239,0,1,1,0,1,1,2
47,3696,250,0,2,1,0,0,0,0
27,59,792,9,2,3,0,0,0,0
27,0,198,7,1,1,0,1,0,0
48,157,73,1,1,1,0,1,0,2
49,2465,157,0,1,1,0,0,0,0
35,0,90,1,1,0,0,1,0,0
47,2,236,6,1,1,1,0,0,0
54,0,118,4,1,2,0,0,0,0
39,12437,40,4,2,2,0,0,0,1
28,378,346,8,2,1,0,1,0,0
54,211,200,1,1,0,0,0,0,2
34,-228,187,9,1,1,0,1,0,0
63,2747,113,5,1,1,0,0,0,0
42,1932,192,6,1,2,0,1,0,2
43,11269,92,9,2,1,0,0,0,2
37,1314,682,0,1,1,0,1,0,0
55,2275,139,1,1,0,0,0,0,0
43,1304,501,4,2,2,0,0,0,0
41,720,651,1,1,1,1,0,1,0
47,2914,405,9,0,1,0,1,0,0
34,1464,350,9,1,1,0,1,0,2
28,11555,125,8,2,1,0,0,0,0
36,-302,36,7,1,1,0,1,0,0
50,2497,35,9,1,1,0,1,0,0
35,-339,389,1,1,1,0,1,0,2
40,56,194,9,1,1,0,1,1,0
26,211,168,6,2,2,0,0,0,0
36,3611,347,4,0,2,0,1,0,2
59,0,3025,10,1,0,0,0,0,0
28,459,83,8,2,1,0,0,0,0
46,242,332,2,1,3,0,1,0,2
50,1138,219,6,1,1,0,0,0,0
53,1319,427,4,1,2,0,1,0,0
81,1,65,5,1,1,0,0,0,0
35,67,192,7,0,1,0,1,0,0
58,937,155,5,1,3,0,0,0,0
44,0,161,7,1,1,0,1,1,0
38,-558,533,4,1,2,0,1,0,0
49,171,19,1,1,1,0,0,0,0
33,696,193,9,2,2,0,0,1,0
29,361,819,4,1,2,0,1,1,0
28,227,278,9,2,1,0,0,0,0
31,236,211,0,1,1,0,1,1,1
33,-53,617,4,2,2,0,0,0,0
52,192,61,9,1,1,0,1,0,0
43,38,197,4,0,2,0,1,0,0
32,518,34,6,2,1,0,1,0,0
36,16,95,6,1,2,0,1,1,0
41,-256,147,1,1,1,0,1,0,2
43,105,668,1,1,1,0,0,1,0
45,334,87,6,1,2,0,0,0,2
39,1048,405,9,1,1,0,0,1,0
41,108,83,7,1,1,0,1,1,2
31,660,115,9,1,1,0,0,0,0
37,0,108,10,2,2,1,1,0,0
28,1034,113,2,1,3,0,0,0,0
47,201,58,3,1,0,0,1,0,0
37,189,148,3,1,0,0,0,0,0
60,-49,188,5,0,3,0,1,0,0
43,1413,75,9,0,1,0,1,0,1
58,264,523,5,0,2,0,1,1,0
52,54,103,2,1,2,0,1,1,1
50,12519,146,1,1,0,0,1,0,0
32,2881,356,7,2,1,0,0,0,0
42,0,71,1,1,0,0,1,0,0
31,88,189,0,1,1,0,1,1,0
28,1020,251,1,1,1,0,1,0,2
36,119,127,9,0,2,0,0,0,0
51,1594,197,10,2,2,0,0,0,1
46,342,84,9,1,2,0,1,1,0
50,72,141,7,2,1,0,0,0,2
32,14,171,1,1,1,0,1,0,2
26,81,262,2,2,2,0,0,0,0
41,231,352,6,1,2,0,0,0,0
39,1161,236,9,1,2,0,1,0,0
31,-45,184,1,1,1,0,1,0,2
28,231,568,4,2,2,0,1,1,0
31,36,105,4,2,1,0,0,0,0
30,1570,260,9,1,2,0,1,0,0
35,7050,222,9,1,2,0,0,0,0
33,3704,447,1,1,0,0,1,0,2
30,6619,239,9,2,2,0,1,0,0
32,-84,426,1,2,1,0,1,0,0
40,1509,333,4,2,2,0,0,0,0
31,1134,174,6,1,2,0,0,0,0
36,146,284,9,1,1,0,1,1,2
33,9449,428,4,2,2,0,1,0,0
57,374,236,5,1,1,0,1,1,0
45,88,150,9,1,1,0,0,0,0
59,2764,237,4,1,2,0,0,0,0
30,2,1031,4,2,2,0,1,1,0
33,8023,107,9,1,2,0,0,0,0
52,289,45,1,1,1,0,1,0,2
83,0,140,5,1,1,0,0,0,0
58,1382,700,6,0,2,0,0,0,2
33,280,155,4,0,2,1,0,1,0
41,2195,211,1,0,0,0,1,0,2
31,33,165,6,1,1,0,0,0,0
35,275,144,1,0,1,0,0,1,0
27,703,590,4,2,2,0,1,0,2
57,887,43,0,0,3,0,0,0,2
56,0,471,11,1,3,0,0,0,2
53,1178,295,0,2,1,0,1,0,2
39,2763,526,4,1,2,0,1,0,2
32,890,27,2,2,2,0,1,1,0
46,548,1181,6,1,1,0,0,0,0
56,272,103,9,1,2,0,0,0,0
46,6269,249,4,0,2,0,1,0,1
29,178,231,2,1,1,0,1,0,0
60,252,123,4,1,0,0,1,1,0
33,23663,199,3,2,2,0,1,0,0
27,81,197,2,2,2,0,0,0,0
50,59,67,6,0,2,0,1,0,2
45,1343,220,7,1,1,0,0,1,0
58,225,122,5,1,1,0,0,0,0
59,0,104,5,1,0,0,1,0,2
58,2538,307,5,0,0,0,1,0,0
64,43,117,5,1,0,0,0,0,0
47,57,253,9,1,1,0,0,0,0
40,-117,770,4,1,2,0,1,0,0
36,666,190,9,0,1,0,1,1,0
28,0,767,4,2,2,0,1,0,0
38,25,232,9,2,2,0,1,0,0
53,1034,854,2,1,0,0,1,0,0
46,324,293,1,2,1,0,1,0,2
54,0,986,9,1,1,0,0,0,1
32,0,66,4,1,2,0,0,0,0
55,621,114,4,1,0,0,0,1,0
55,138,205,5,0,1,0,0,0,0
56,4063,31,9,1,1,0,0,1,1
40,11084,113,1,1,1,0,0,0,2
44,310,200,9,1,1,0,1,0,0
32,73,158,2,1,3,0,1,0,0
33,1808,99,4,1,2,0,1,0,2
41,1281,45,10,0,1,0,0,0,0
37,64,239,9,1,1,0,1,0,0
58,2,168,4,2,2,0,1,0,1
52,60,196,1,1,1,0,0,1,0
49,133,319,7,2,1,0,0,0,2
44,3706,209,3,1,0,0,0,0,2
28,174,184,0,2,3,0,0,0,0
31,251,156,9,1,1,0,0,1,0
